run_id,ts_lectura,codigo,actividad,grupo,profesores_raw,profesores_norm,cupos_disponibles,cupos_totales,orden_lectura
gh-31624873304-0812T1753,2026-08-12T12:54:14-05:00,2026433,CLASE TEORICA,(1) Grupo 1 - Clase presencial,Joanita Jimena Barbosa Gomez,joanita jimena barbosa gomez,125,NA,12
gh-31624873304-0812T1753,2026-08-12T12:54:16-05:00,2011302,CLASE TEORICA,(1) Grupo 1,Docente Ajuste Derecho,docente ajuste derecho,0,NA,14
gh-31624873304-0812T1753,2026-08-12T12:54:17-05:00,2012698,CLASE TEORICA,(1) Grupo 1,Docente Ajuste Derecho,docente ajuste derecho,0,NA,15
gh-31624873304-0812T1753,2026-08-12T12:54:18-05:00,2021140,NA,(1) Grupo 1 - Clase Presencial,Leonardo Castañeda Colorado,leonardo castaneda colorado,50,NA,16
gh-31624873304-0812T1753,2026-08-12T12:54:18-05:00,2021140,NA,(2) Grupo 2 - Clase Presencial,Giovanni Alejandro Pinzon Estrada,giovanni alejandro pinzon estrada,50,NA,16
gh-31624873304-0812T1753,2026-08-12T12:54:18-05:00,2021140,NA,(3) Grupo 3 - Clase Presencial,SANTIAGO VARGAS DOMINGUEZ,santiago vargas dominguez,0,NA,16
gh-31624873304-0812T1753,2026-08-12T12:54:19-05:00,2026533,CLASE TEORICA,(1) Grupo 1 - Clase Presencial - Sede Bogotá,Egberto Bermudez Cujar,egberto bermudez cujar,200,NA,17
gh-31624873304-0812T1753,2026-08-12T12:54:22-05:00,2028674,CLASE TEORICA,(1) Grupo 1 - Clase presencial,Yuly Edith Sanchez Mendoza,yuly edith sanchez mendoza,0,NA,19
gh-31624873304-0812T1753,2026-08-12T12:54:25-05:00,2021147,CLASE TEORICA,(1) Grupo 1 - Clase presencial,Nubia Carmenza Moreno Sarmiento,nubia carmenza moreno sarmiento,55,NA,22
gh-31624873304-0812T1753,2026-08-12T12:54:27-05:00,2026274,CLASE TEORICA,(1) Grupo 1 - Clase Presencial - Sede Bogotá,Angela Ines Simbaqueba Gutierrez; GUERASSIM VORONKOV,angela ines simbaqueba gutierrez;guerassim voronkov,0,NA,23
gh-31624873304-0812T1753,2026-08-12T12:54:29-05:00,2029655,CLASE TEORICA,(1) Grupo 1 - Clase Presencial,Andrea Carolina Jimenez Martin,andrea carolina jimenez martin,201,NA,25
gh-31624873304-0812T1753,2026-08-12T12:54:30-05:00,2022287,CLASE TEORÍCA,(1) Grupo 1 - Clase presencial,Liven Fernando Martinez Bernal,liven fernando martinez bernal,76,NA,26
gh-31624873304-0812T1753,2026-08-12T12:54:31-05:00,1000129-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Grupo Bogotá,Diego Alexander Garzon Alvarado; EDUARDO ALFONSO RUEDA BARRERA,diego alexander garzon alvarado;eduardo alfonso rueda barrera,500,NA,27
gh-31624873304-0812T1753,2026-08-12T12:54:33-05:00,2021770,NA,(1) Grupo 1 - Clase presencial,Eulises Torres,eulises torres,30,NA,28
gh-31624873304-0812T1753,2026-08-12T12:54:35-05:00,2027992,CLASE TEORICA,(1) Grupo 1,JUAN CARLOS MONTOYA AGUDELO,juan carlos montoya agudelo,150,NA,30
gh-31624873304-0812T1753,2026-08-12T12:54:36-05:00,2027937,NA,(6) Grupo Amazonía,Fernando José Rodríguez Mesa,fernando jose rodriguez mesa,15,NA,31
gh-31624873304-0812T1753,2026-08-12T12:54:36-05:00,2027937,NA,(1) Grupo Bogotá,Fernando José Rodríguez Mesa,fernando jose rodriguez mesa,285,NA,31
