codigo_asignatura,asignatura,planes,tipologia,creditos,grupo,actividad,profesores,cupos_disponibles,jornada,dia,hora_inicio,hora_fin,salon,edificio,tipo_espacio,salon_nombre,fecha
1000159-B,Cátedra nacional acciones por la sustentabilidad,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,LUZ MARINA OCAMPO CARMONA,40,DIURNO,MARTES,10:00,12:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
1000159-B,Cátedra nacional acciones por la sustentabilidad,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,LUZ MARINA OCAMPO CARMONA,40,DIURNO,JUEVES,10:00,12:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
1000158-B,Cátedra nacional ambiental,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,Maria Del Rosario Rojas Robles,200,DIURNO,JUEVES,08:00,10:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
1000175-B,Cátedra Nacional: Cátedra de Estudios del Pacífico: ¿de qué vive la gente?,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,Eduardo Antonio Restrepo Uribe,30,DIURNO,MARTES,14:00,17:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
1000141-B,"Cátedra Nacional Colombia bioazul, dos mares un país",2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Sede Bogotá,CLASE TEORICA,Nestor Hernando Campos Campos; Jose Ernesto Mancera Pineda,50,DIURNO,MIÉRCOLES,14:00,17:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(1) Grupo 1 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,LUNES,09:00,11:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(10) Grupo 10 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,MIÉRCOLES,11:00,13:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(11) Grupo 11 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,MIÉRCOLES,14:00,16:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(12) Grupo 12 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,MIÉRCOLES,16:00,18:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(13) Grupo 13 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,JUEVES,09:00,11:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(14) Grupo 14 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,JUEVES,11:00,13:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(15) Grupo 15 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,JUEVES,14:00,16:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(16) Grupo 16 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,JUEVES,16:00,18:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(17) Grupo 17 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,VIERNES,09:00,11:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(18) Grupo 18 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,VIERNES,11:00,13:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(19) Grupo 19 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,VIERNES,14:00,16:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(2) Grupo 2 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,LUNES,11:00,13:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(20) Grupo 20 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,VIERNES,16:00,18:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(21) Grupo 21 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,SÁBADO,09:00,11:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(3) Grupo 3 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,LUNES,14:00,16:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(4) Grupo 4 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,LUNES,16:00,18:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(5) Grupo 5 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,MARTES,09:00,11:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(6) Grupo 6 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,MARTES,11:00,13:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(7) Grupo 7 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,MARTES,14:00,16:00,,,,,27/08/2026 - 16/12/2026
1000089-B,Cátedra nacional de inducción y preparación para la vida universitaria,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(9) Grupo 9 - Clase Virtual,CLASE TEORICA,Jasmin Garcia Pineros,0,DIURNO,MIÉRCOLES,09:00,11:00,,,,,27/08/2026 - 16/12/2026
1000168-B,"Cátedra Nacional: Energía y Sociedad: Generación Energi en el contexto social, cultural y ambiental",2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,Adriana Isabel Orjuela Martinez; SANDRA PATRICIA DAZA CAICEDO,20,DIURNO,SÁBADO,09:00,12:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
1000167-B,Cátedra Nacional: Ética en Investigación,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,Luis Alberto Sanchez Alfaro,156,DIURNO,JUEVES,16:00,19:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
1000172-B,Cátedra Nacional: Formación en voluntariado universitario,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,Monica Reinartz Estrada,20,DIURNO,MARTES,16:00,18:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
1000172-B,Cátedra Nacional: Formación en voluntariado universitario,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,Monica Reinartz Estrada,20,DIURNO,JUEVES,16:00,18:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
1000145-B,Cátedra Nacional Gestión a la Adaptación y Cambio Climático en Colombia,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Sede Bogotá,CLASE TEORICA,Viviana Vargas Franco,60,DIURNO,,,,,,,,
1000173-B,Catedra Nacional: Ingeniería y paz en Colombia,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,MONICA AYDE VALLEJO VELASQUEZ,50,DIURNO,MARTES,16:00,18:00,,,,,27/08/2026 - 16/12/2026
1000173-B,Catedra Nacional: Ingeniería y paz en Colombia,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,MONICA AYDE VALLEJO VELASQUEZ,50,DIURNO,JUEVES,16:00,18:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
1000171-B,Cátedra Nacional: Liderazgo en ingeniería para el desarrollo de los territorios,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,María Luisa Villalba Morales,40,DIURNO,MIÉRCOLES,14:00,16:00,,,,,27/08/2026 - 16/12/2026
1000174-B,Cátedra Nacional: Transiciones colombianas hacia la vida en común,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,No informado,30,DIURNO,SÁBADO,09:00,12:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
1000169-B,Cátedra Nacional: UNESCO. 15 años del paisaje cultural cafetero como patrimonio de la Humanidad,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,Julian Alejandro Osorio Osorio,30,DIURNO,MIÉRCOLES,08:00,11:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
2028643,Cátedra Pinsus Julio Carrizosa,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Virtual Bogotá,,Jose Ismael Peña Reyes,100,DIURNO,MARTES,16:00,19:00,B_AULAVIRTUAL,Bogotá - Edificio Virtual,,Aula Virtual Bogotá,27/08/2026 - 17/12/2026
2029903,Cátedra retos de la Educación para el siglo xxi,2542 INGENIERÍA CIVIL,ELEGIBLES,3,(1) Grupo 1 Cesar Ayala Diago,CLASE MAGISTRAL,Cesar Augusto Ayala Diago,78,DIURNO,,,,,,,,
2029864,Chino electivo III,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Chino Electivo III,CLASE TEORICA,JESSICA LUCIA MORENO NOVOA,25,DIURNO,,,,,,,,
2021758,Chino I,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Chino Electivo I,CLASE TEORICA,JESSICA LUCIA MORENO NOVOA,25,DIURNO,LUNES,09:00,11:00,,,,,27/08/2026 - 12/12/2026
2021758,Chino I,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Chino Electivo I,CLASE TEORICA,JESSICA LUCIA MORENO NOVOA,25,DIURNO,MIÉRCOLES,09:00,11:00,,,,,27/08/2026 - 12/12/2026
2021758,Chino I,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(2) Grupo 2 - Chino Electivo I,CLASE TEORICA,JESSICA LUCIA MORENO NOVOA,26,DIURNO,LUNES,11:00,13:00,,,,,27/08/2026 - 12/12/2026
2021758,Chino I,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(2) Grupo 2 - Chino Electivo I,CLASE TEORICA,JESSICA LUCIA MORENO NOVOA,26,DIURNO,MIÉRCOLES,11:00,13:00,,,,,27/08/2026 - 12/12/2026
2021760,Chino II,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Chino Electivo II,CHINO II,JESSICA LUCIA MORENO NOVOA,25,DIURNO,,,,,,,,
2016133,"Ciudad, hábitat y vivienda",2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Presencial,CLASE TEORICA,Alvaro Ibata Ceballos,100,DIURNO,VIERNES,13:00,15:00,303C-422,303 - EDIFICIO DE LAS ARTES SEDE BOGOTA,AUDITORIO,AUDITORIO 2,27/08/2026 - 17/12/2026
2021142,Clima y diversidad de clima de Colombia,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1,,Raul Eduardo Gomez Torres,46,DIURNO,MARTES,14:00,16:00,564-303,564 - Gloria Amparo Galeano Garcés,,SALON 303,27/08/2026 - 16/12/2026
